"id";"uri";"titulo";"dataCriacao";"idLegislatura";"telefone";"email";"keywords";"idSituacao";"situacao";"urlWebsite";"urlDocumento";"coordenador_id";"coordenador_uri";"coordenador_nome";"coordenador_siglaPartido";"coordenador_uriPartido";"coordenador_siglaUf";"coordenador_idLegislatura";"coordenador_urlFoto"
"53372";"https://dadosabertos.camara.leg.br/api/v2/frentes/53372";"Frente Parlamentar pelo Desenvolvimento da Agroecologia e Produção Orgânica.";"2012-12-13";"54";"3215-5306";"";"";"";"06/12/2012- Recebidos o Req. 6504, a Ata, o Estatuto e as adesões.
06/12/2012- Documentação encaminhada para SERAP para fins de conferência.
06/12/2012- Confirmadas 186 adesões de Deputados.
06/12/2012- Of. 301/12/SGM encaminhado ao Senado solicitando conferência de assinaturas.
13/12/2012- Confirmadas 18 assinaturas de Senadores. Totalizando 204 adesões de Parlamentares.
13/12/2012- Vai à publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53372-integra.pdf""";"4930";"https://dadosabertos.camara.leg.br/api/v2/deputados/4930";"Luci Choinaki";"PSC";"https://dadosabertos.camara.leg.br/api/v2/partidos/36833";"PE";"54";"https://www.camara.leg.br/internet/deputado/bandep/4930.jpg"
"53373";"https://dadosabertos.camara.leg.br/api/v2/frentes/53373";"Frente Parlamentar para a Desoneração dos Medicamentos";"2012-12-19";"54";"3215-5935";"";"";"";"06/12/2012- Recebidos o Req. 6507, a Ata, o Estatuto e as adesões.
06/12/2012- Documentação encaminhada para SERAP para fins de conferência.
11/12/2012- Confirmadas 213 adesões de Deputados. Há Senadores.
11/12/2012- Of. 305/12/SGM encaminhando ao Senado solicitando conferência de assinaturas.
19/12/2012- Confirmadas 7 adesões de Senadores, totalizando 220 adesões.
19/12/2012- Vai à publicação.
19/12/2012- Recebido  Of. 90/12 solicitando novas adesões de Deputados e Senadores.
18/01/2013- Documentação encaminhada para SERAP para fins de conferência.
01/02/2013- Confirmadas 4 novas adesões de Deputados, totalizando 224 adesões.
04/02/2013- Of. 60/13/SGM encaminhando ao Senado solicitando conferência de assinaturas.
08/02/2013 - Confirmadas 2 novas adesões de Senadores, totalizando 226 adesões.
13/03/2013 - Vai à publicação.
09/05/2012 - Recebido  Of. 139/13 solicitando novas adesões de Deputados e Senadores.
03/06/2013 - Documentação encaminhada para SERAP para fins de conferência.
05/06/2013 - Confirmadas 3 novas adesões de Deputados. Totalizando 229 adesões.
05/06/2013 - Of. 124/13/SGM encaminhado ao Senado solicitando conferência de assinaturas.
11/06/2013 - Confirmadas 1 nova adesão de Senador, totalizando 230 adesões.
11/06/2013 - Vai à publicação
11/06/2013 - Recebido  Of. 170/13 solicitando novas adesões de Deputados e Senadores.
12/06/2013 - Documentação encaminhada para SERAP para fins de conferência.
14/12/2012- Confirmada 01 adesão de Deputado. Há Senadores.
17/12/2012- Of. 135/13/SGM encaminhando ao Senado solicitando conferência de assinaturas.
28/06/2013 - Confirmada 1 nova adesão de Senador. Totalizando 232 adesões.
28/06/2013 - Vai à publicação.
13/02/2014 - Recebido  Of. 09/14 solicitando nova adesão de Deputado.
13/02/2014 - Documentação encaminhada para SERAP para fins de conferência.
13/02/2014 - Confirmada 1 nova adesão de Deputado, totalizando 233 adesões.
13/02/2014 - Vai à publicação.
20/02/2014 - Recebido  Of. 22/14 solicitando nova adesão de Deputado.
20/02/2014 - Documentação encaminhada para SERAP para fins de conferência.
20/02/2014 - Confirmada 1 nova adesão totalizando 234 adesões de parlamentares.
20/02/2014 - Vai à publicação.
11/03/2014 - Of. 27/2014 Encaminhando nova composição da Mesa e Comissão Consultiva da Frente Parlamentar.
11/03/2014 - Vai à publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53373-integra.pdf""";"141560";"https://dadosabertos.camara.leg.br/api/v2/deputados/141560";"Walter Ihoshi";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SP";"54";"https://www.camara.leg.br/internet/deputado/bandep/141560.jpg"
"53374";"https://dadosabertos.camara.leg.br/api/v2/frentes/53374";"Frente Parlamentar em Defesa da Lavoura Cacaueira";"2012-12-18";"54";"3215-5912";"";"";"";"14/12/2012 - Recebidos o Req. 6580/2012, a ata, o estatuto e as adesões.
14/12/2012 - Documentos encaminhados para a SECAP para conferência de assinaturas.
18/12/2012 - Confirmadas 206 assinaturas de Deputados. Não há Senadores.
18/12/2012 - Vai à publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53374-integra.pdf""";"160666";"https://dadosabertos.camara.leg.br/api/v2/deputados/160666";"Félix Mendonça Júnior";"PDT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36786";"BA";"54";"https://www.camara.leg.br/internet/deputado/bandep/160666.jpg"
"53375";"https://dadosabertos.camara.leg.br/api/v2/frentes/53375";"Frente Parlamentar de Apoio aos Familiares de Desaparecidos Civis";"2013-01-30";"54";"3215-5404";"";"";"";"19/12/2012 - Recebidos o Req. 6616/2012, a ata, o estatuto e as adesões.
20/12/2012 - Documentos encaminhados para a SECAP para conferência de assinaturas.
20/12/2012 - Confirmadas 205 adesões de Deputados. Há Senadores.
10/01/2013 - Of. 33/13/SGM Encaminhado ao Senado solicitando conferência de assinaturas.
17/01/2013- Confirmadas 5 adesões de Senadores. Totalizando 210 adesões de Parlamentares.
30/01/2013- Vai à publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53375-integra.pdf""";"160563";"https://dadosabertos.camara.leg.br/api/v2/deputados/160563";"Onofre Santo Agostini";"PSD";"https://dadosabertos.camara.leg.br/api/v2/partidos/36834";"SC";"54";"https://www.camara.leg.br/internet/deputado/bandep/160563.jpg"
"53376";"https://dadosabertos.camara.leg.br/api/v2/frentes/53376";"Frente Parlamentar Pró-Guardas Municipais";"2013-02-26";"54";"3215-5740";"";"";"";"20/12/2012 - Recebidos o Req. 6629/2012, a ata, o estatuto e as adesões.
21/12/2012 - Documentos encaminhados para a SECAP para conferência de assinaturas;
26/02/2013 - Confirmadas novas adesões, totalizando 199 deputados, não há senadores.
26/02/2013 - Vai à publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53376-integra.pdf""";"74283";"https://dadosabertos.camara.leg.br/api/v2/deputados/74283";"Vicentinho";"PT";"https://dadosabertos.camara.leg.br/api/v2/partidos/36844";"SP";"54";"https://www.camara.leg.br/internet/deputado/bandep/74283.jpg"
"53377";"https://dadosabertos.camara.leg.br/api/v2/frentes/53377";"Frente Parlamentar pela Valorização da Defesa Civil";"2013-03-14";"54";"3215-5560";"";"";"";"04/03/2013 - Recebidos o Req. 6896/2012, a ata, o estatuto e as adesões.
05/03/2013 - Documentos encaminhados para a SECAP para conferência de assinaturas.
07/03/2013 - Confirmadas 218 adesões de Deputados. Não há Senadores.
14/03/2013 - Vai à publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53377-integra.pdf""";"141498";"https://dadosabertos.camara.leg.br/api/v2/deputados/141498";"Dr. Ubiali";"PSB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36832";"SP";"54";"https://www.camara.leg.br/internet/deputado/bandep/141498.jpg"
"53378";"https://dadosabertos.camara.leg.br/api/v2/frentes/53378";"Frente Parlamentar Mista em Defesa das Universidades Públicas, Estaduais e Municipais do Brasil.";"2013-03-20";"54";"3125-5710";"";"";"";"19/03/2013 - Recebido REQ. 7080/13, a Ata, o Estatuto e as adesões.
19/03/2013 - Encaminhado à SERAP para conferência de assinaturas.
04/04/2013 - Of. 105/2013/SGM encaminhado ao Senado solicitando conferência de assinaturas.
10/04/2013 - Confirmadas 226 adesões de Deputados e 19 adesões de Senadores . Totalizando 245 adesões.
11/04/2013 - Vai à publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53378-integra.pdf""";"141408";"https://dadosabertos.camara.leg.br/api/v2/deputados/141408";"Cleber Verde";"PRB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36815";"MA";"54";"https://www.camara.leg.br/internet/deputado/bandep/141408.jpg"
"53379";"https://dadosabertos.camara.leg.br/api/v2/frentes/53379";"Frente Parlamentar Mista, Câmara e Senado, em Defesa dos Municípios Sedes de Usinas Hidroelétricas.";"2013-04-10";"54";"3215-5228";"";"";"";"04/04/2013 - Recebidos o Req. 7354/13, a Ata o Estatuto e as adesões.
04/04/2013 - Documentação encaminhada para SERAP para conferência de assinaturas.
10/04/2013 - Confiramadas 215 adesões de Deputados. Não há Senadores.
10/04/2013 - Vai à Publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53379-integra.pdf""";"67138";"https://dadosabertos.camara.leg.br/api/v2/deputados/67138";"Vilson  Covatti";"PP**";"https://dadosabertos.camara.leg.br/api/v2/partidos/36809";"PI";"54";"https://www.camara.leg.br/internet/deputado/bandep/67138.jpg"
"53380";"https://dadosabertos.camara.leg.br/api/v2/frentes/53380";"Frente Parlamentar Mista, Câmara e Senado, em Combate ao Crack.";"2013-05-27";"54";"(61) 3215-5745";"";"";"";"18/04/2013 - Recebidos Req. 7575/13, a Ata, o Estatuto e as adesões.
18/04/2013 - Encaminhado à SERAP para fins de conferência.
29/04/2013 - Recebida a conferência, com 289 assinaturas confirmadas. Cópia do requerimento submetida à apreciação do Fábio (NAJUR) para verificação da nomenclatura das Frentes Parlamentares.
06/05/2013 - Of. 114/13/SGM encaminhado ao Senado solicitando conferência de assinaturas.
21/05/2013 - Confirmados 289 adesões de Deputados. Confirmadas 37 adesões de Senadores, com um total de 326 adesões.
27/05/2013 – Vai à publicação.
28/05/2014 - Recebido Of. 745/14 encaminhando nova Ata da Frente Parlamentar.
28/05/2014 - Vai à publicação.";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53380-integra.pdf""";"160606";"https://dadosabertos.camara.leg.br/api/v2/deputados/160606";"Delegado Protógenes";"PCdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36779";"SP";"54";"https://www.camara.leg.br/internet/deputado/bandep/160606.jpg"
"53381";"https://dadosabertos.camara.leg.br/api/v2/frentes/53381";"Frente Parlamentar em Defesa da Fiscalização Agropecuária no Brasil";"2013-04-26";"54";"3216-5935";"";"";"";"18/04/2013 - Recebidos Req. 7563/13, a Ata, o Estatuto e as adesões.
18/04/2013 - Encaminhado à SERAP para fins de conferência.
25/04/2013 - Confirmadas 208 adesões de Deputados. Não há Senadores.
26/04/2013 - Vai à publicação";"";"https://www.camara.leg.br/internet/deputado/Frente_Parlamentar/53381-integra.pdf""";"160555";"https://dadosabertos.camara.leg.br/api/v2/deputados/160555";"Lourival Mendes";"PTdoB";"https://dadosabertos.camara.leg.br/api/v2/partidos/36847";"MA";"54";"https://www.camara.leg.br/internet/deputado/bandep/160555.jpg"
