OBJECTID,Nome,Flg_Ativo,Status,X,Y,Flg_TransCarioca,Flg_TransBrasil,Flg_TransOeste,Flg_TransOlimpica,ChaveGeo,Data_Inc,Integra_Trem,Integra_Metro,Integra_Aeroporto
89,Porto dos Cabritos,Sim,Implantada,671289.3165,7455405.8147,Não,Não,Sim,Não,OT7CB4X2,,Não,Não,Não
90,Freeway,Sim,Implantada,670638.4666,7455495.8297,Não,Não,Sim,Não,,,Não,Não,Não
91,Riviera,Sim,Implantada,669982.4992,7455534.7983,Não,Não,Sim,Não,,,Não,Não,Não
92,Ricardo Marinho,Sim,Implantada,669518.3111,7455550.5184,Não,Não,Sim,Não,F3RBDOY2,,Não,Não,Não
93,Barra Shopping,Sim,Implantada,668060.9803,7455587.6412,Não,Não,Sim,Não,,,Não,Não,Não
94,Bosque da Barra,Sim,Implantada,666341.5087,7455570.5399,Não,Não,Sim,Não,,,Não,Não,Não
95,Novo Leblon,Sim,Implantada,665752.0627,7455566.2133,Não,Não,Sim,Não,AXVAQYY2,,Não,Não,Não
96,Américas Park,Sim,Implantada,665076.2154,7455572.6405,Não,Não,Sim,Não,,,Não,Não,Não
97,Santa Mônica Jardins,Sim,Implantada,664184.5856,7455605.0165,Não,Não,Sim,Não,,,Não,Não,Não
98,Rio Mar,Sim,Implantada,663322.7851,7455644.8619,Não,Não,Sim,Não,,,Não,Não,Não
99,Interlagos,Sim,Implantada,662238.4136,7455553.2912,Não,Não,Sim,Não,FO3AVUY2,,Não,Não,Não
100,Pedra de Itaúna,Sim,Implantada,661562.4112,7455334.9587,Não,Não,Sim,Não,,,Não,Não,Não
101,Pontões/Barrasul,Sim,Implantada,660748.8158,7455058.1378,Não,Não,Sim,Não,,,Não,Não,Não
102,Salvador Allende,Sim,Implantada,659643.7292,7454761.1583,Não,Não,Sim,Não,BSH99NS2,,Não,Não,Não
103,Gelson Fonseca,Sim,Implantada,659031.5398,7454602.0193,Não,Não,Sim,Não,,,Não,Não,Não
104,Guignard,Sim,Implantada,658619.2781,7454495.6601,Não,Não,Sim,Não,,,Não,Não,Não
105,Gláucio Gil,Sim,Implantada,657971.6558,7454319.7988,Não,Não,Sim,Não,,,Não,Não,Não
106,Benvindo de Novaes,Sim,Implantada,657177.8991,7454112.5103,Não,Não,Sim,Não,Z2Z8EYN2,,Não,Não,Não
107,Gilka Machado,Sim,Implantada,656110.2474,7453827.0712,Não,Não,Sim,Não,,,Não,Não,Não
108,Guiomar Novais,Sim,Implantada,655541.2472,7453680.004,Não,Não,Sim,Não,WJH88CJ2,,Não,Não,Não
109,Recreio Shopping ,Sim,Implantada,655060.4679,7453551.521,Não,Não,Sim,Não,,,Não,Não,Não
110,Notre Dame,Sim,Implantada,653727.9158,7453457.8898,Não,Não,Sim,Não,,,Não,Não,Não
111,Pontal,Sim,Implantada,652118.4719,7453953.3278,Não,Não,Sim,Não,,,Não,Não,Não
112,Ilha de Guaratiba,Sim,Implantada,649680.9819,7454736.7711,Não,Não,Sim,Não,,,Não,Não,Não
113,Mato Alto,Sim,Implantada,643868.3822,7456519.7944,Não,Não,Sim,Não,,,Não,Não,Não
114,Magarça,Sim,Implantada,641302.2234,7459334.162,Não,Não,Sim,Não,,,Não,Não,Não
115,Pingo DÁgua,Sim,Implantada,638715.5649,7459777.6324,Não,Não,Sim,Não,,,Não,Não,Não
116,General Olímpo,Sim,Implantada,635441.9484,7464526.4505,Não,Não,Sim,Não,,,Não,Não,Não
117,Terminal Deodoro,Sim,Implantada,665843.4234,7471787.908,Não,Sim,Não,Sim,,,Sim,Não,Não
118,Carrefour,Não,Em Construção,666558.5458,7472762.9123,Não,Sim,Não,Não,,,,,
119,Barros Filho,Não,Em Construção,667436.8306,7473337.1264,Não,Sim,Não,Não,,,,,
120,Coelho Neto,Não,Em Construção,669277.6591,7474284.4756,Não,Sim,Não,Não,,,,,
121,Irajá,Não,Em Construção,671617.1874,7475162.2992,Não,Sim,Não,Não,,,,,
