Bairros;Total anual;Média diária;Total anual;Média diária;Total anual;Média diária;Total anual;Média diária
Galeão;-;-;-;-;-;-;-;-
Cidade Universitária;-;-;-;-;-;-;-;-
Jacarepaguá;-;-;-;-;-;-;-;-
Anil;-;-;-;-;-;-;-;-
Gardênia Azul;-;-;-;-;-;-;-;-
Curicica;-;-;-;-;-;-;-;-
Freguesia (Jacarepaguá);-;-;-;-;-;-;-;-
Pechincha;-;-;-;-;-;-;-;-
Taquara ;-;-;-;-;-;-;-;-
Tanque ;-;-;-;-;-;-;-;-
Praça Seca;-;-;-;-;-;-;-;-
Vila Valqueire;-;-;-;-;-;-;-;-
Cidade de Deus ;-;-;-;-;-;-;-;-
Joá;-;-;-;-;-;-;-;-
Itanhangá;-;-;-;-;-;-;-;-
Barra da Tijuca; 2 798;  8;-;-; 10 835;  30;-;-
Camorim;-;-;-;-;-;-;-;-
Vargem Pequena;-;-;-;-;-;-;-;-
Vargem Grande;-;-;-;-;-;-;-;-
Recreio dos Bandeirantes;-;-;-;-;-;-;-;-
Grumari;-;-;-;-;-;-;-;-
Padre Miguel;-;-; 1 188;  3;-;-; 1 017;  3
Bangu;-;-; 5 687;  16;-;-; 4 813;  13
Senador Camará;-;-; 1 503;  4;-;-; 1 107;  3
Gericinó;-;-;-;-;-;-;-;-
Deodoro;-;-; 2 331;  6;-;-; 1 975;  5
Vila Militar;-;-;  566;  2;-;-;  289;  1
Campo dos Afonsos;-;-;-;-;-;-;-;-
Jardim Sulacap;-;-;-;-;-;-;-;-
Magalhães Bastos;-;-; 1 042;  3;-;-;  957;  3
Realengo;-;-; 1 721;  5;-;-; 1 441;  4
Santíssimo;-;-; 1 066;  3;-;-;  890;  2
Campo Grande;-;-; 6 701;  18;-;-; 5 938;  16
Senador Vasconcelos;-;-;  785;  2;-;-;  636;  2
Inhoaíba;-;-; 1 744;  5;-;-; 1 508;  4
Cosmos;-;-; 1 222;  3;-;-; 1 015;  3
Paciência;-;-; 2 162;  6;-;-; 1 895;  5
Santa Cruz;-;-; 4 595;  13;-;-; 4 169;  11
Sepetiba;-;-;-;-;-;-;-;-
Guaratiba;-;-;-;-;-;-;-;-
Barra de Guaratiba;-;-;-;-;-;-;-;-
Pedra de Guaratiba;-;-;-;-;-;-;-;-
