data,regiao,casosAcumulado
2020-04-05,Centro-Oeste,1416
2020-04-05,Nordeste,3762
2020-04-05,Norte,1302
2020-04-05,Sudeste,13356
2020-04-05,Sul,2426
2020-04-06,Brasil,12056
2020-04-06,Centro-Oeste,1468
2020-04-06,Nordeste,4345
2020-04-06,Norte,1582
2020-04-06,Sudeste,14091
2020-04-06,Sul,2636
2020-04-07,Brasil,13717
2020-04-07,Centro-Oeste,1566
2020-04-07,Nordeste,4978
2020-04-07,Norte,1903
2020-04-07,Sudeste,16276
2020-04-07,Sul,2856
2020-04-08,Brasil,15927
2020-04-08,Centro-Oeste,1685
2020-04-08,Nordeste,5751
2020-04-08,Norte,2452
2020-04-08,Sudeste,18974
2020-04-08,Sul,3102
2020-04-09,Brasil,17857
2020-04-09,Centro-Oeste,1806
2020-04-09,Nordeste,6513
2020-04-09,Norte,2720
2020-04-09,Sudeste,21248
2020-04-09,Sul,3456
2020-04-10,Brasil,19638
2020-04-10,Centro-Oeste,1910
2020-04-10,Nordeste,7148
2020-04-10,Norte,3010
2020-04-10,Sudeste,23356
2020-04-10,Sul,3944
2020-04-11,Brasil,20727
2020-04-11,Centro-Oeste,2018
2020-04-11,Nordeste,7855
2020-04-11,Norte,3326
2020-04-11,Sudeste,24250
2020-04-11,Sul,4096
2020-04-12,Brasil,22169
2020-04-12,Centro-Oeste,2134
2020-04-12,Nordeste,8565
2020-04-12,Norte,3796
2020-04-12,Sudeste,25598
2020-04-12,Sul,4282
2020-04-13,Brasil,23430
2020-04-13,Centro-Oeste,2236
2020-04-13,Nordeste,9567
2020-04-13,Norte,4056
2020-04-13,Sudeste,26732
2020-04-13,Sul,4443
2020-04-14,Brasil,25262
2020-04-14,Centro-Oeste,2376
2020-04-14,Nordeste,10508
2020-04-14,Norte,4832
2020-04-14,Sudeste,28256
2020-04-14,Sul,4661
2020-04-15,Brasil,28320
2020-04-15,Centro-Oeste,2516
2020-04-15,Nordeste,11874
2020-04-15,Norte,5164
2020-04-15,Sudeste,32492
